# Nasdaq-100 constituents. Loaded and UNIONED with every other
# config/universe_*.csv file (see sentinel/data/universe.py) — heavy overlap
# with the S&P 500 file is expected and harmless.
#
# Membership churns; refresh this list when the index reconstitutes. Editing
# this file needs no code change and no restart beyond the next scan.
symbol
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEP
AMAT
AMD
AMGN
AMZN
ANSS
APP
ARM
ASML
AVGO
AXON
AZN
BIIB
BKNG
BKR
CCEP
CDNS
CDW
CEG
CHTR
CMCSA
COST
CPRT
CRWD
CSCO
CSGP
CSX
CTAS
CTSH
DASH
DDOG
DXCM
EA
EXC
FANG
FAST
FTNT
GEHC
GFS
GILD
GOOG
GOOGL
HON
IDXX
ILMN
INTC
INTU
ISRG
KDP
KHC
KLAC
LIN
LRCX
LULU
MAR
MCHP
MDB
MDLZ
MELI
META
MNST
MRVL
MSFT
MSTR
MU
NFLX
NVDA
NXPI
ODFL
ON
ORLY
PANW
PAYX
PCAR
PDD
PEP
PLTR
PYPL
QCOM
REGN
ROP
ROST
SBUX
SNPS
TEAM
TMUS
TSLA
TTD
TTWO
TXN
VRSK
VRTX
WBD
WDAY
XEL
ZS
